title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Hits 2020 - Mashup,"Trinix Remix, Trinix",spotify:track:45v4pDxE0VuSZOx81FtgBS,0.51,0.709,1.0,-7.194,0.0,0.162,0.128,1.48e-05,0.0653,0.662,142.51,45v4pDxE0VuSZOx81FtgBS,133591.0,5.0
As It Was,Harry Styles,spotify:track:4LRPiXqCikLlN15c3yImP7,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303.0,4.0
About Damn Time,Lizzo,spotify:track:1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10.0,-6.305,0.0,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822.0,4.0
Alone Again,The Weeknd,spotify:track:2geUtMB7UX968R11pCoXbU,0.256,0.653,6.0,-7.972,0.0,0.0544,0.0337,0.113,0.168,0.0581,90.673,2geUtMB7UX968R11pCoXbU,250057.0,5.0
Too Late,The Weeknd,spotify:track:6BSAGCfWNAlx4dVlvxx9UT,0.64,0.869,4.0,-5.179,0.0,0.117,0.0518,0.000119,0.691,0.185,120.07,6BSAGCfWNAlx4dVlvxx9UT,239980.0,4.0
Hardest To Love,The Weeknd,spotify:track:1l9jzkxdLBds0cvhFl6FdQ,0.472,0.608,5.0,-7.873,1.0,0.0596,0.0966,7.51e-05,0.122,0.109,81.154,1l9jzkxdLBds0cvhFl6FdQ,211402.0,4.0
Scared To Live,The Weeknd,spotify:track:36USLDZeRdNxgBNqyxCyiP,0.564,0.493,0.0,-8.311,1.0,0.048,0.123,0.0,0.0995,0.212,87.825,36USLDZeRdNxgBNqyxCyiP,191299.0,4.0
Snowchild,The Weeknd,spotify:track:0zI9Oc8EePyYMPcALIBtpa,0.675,0.569,0.0,-7.684,1.0,0.0952,0.173,0.000126,0.123,0.295,147.819,0zI9Oc8EePyYMPcALIBtpa,247192.0,4.0
Escape From LA,The Weeknd,spotify:track:2GRjd6cijtmopZcPFrfXZi,0.385,0.506,5.0,-9.04,0.0,0.0433,0.067,0.00968,0.164,0.177,145.911,2GRjd6cijtmopZcPFrfXZi,355960.0,4.0
Heartless,The Weeknd,spotify:track:4lV0yS4aCcfJLCC1nSqf3f,0.616,0.756,10.0,-5.42,0.0,0.0685,0.0295,2.31e-06,0.116,0.224,85.029,4lV0yS4aCcfJLCC1nSqf3f,198267.0,4.0
Faith,The Weeknd,spotify:track:6JGR68guzmYZ0gw8UqpyQE,0.333,0.583,0.0,-7.284,0.0,0.0714,0.632,0.0583,0.145,0.133,87.757,6JGR68guzmYZ0gw8UqpyQE,283217.0,4.0
Blinding Lights,The Weeknd,spotify:track:6gtGE8Hm7F6BudiwEwr7JI,0.515,0.727,1.0,-5.962,1.0,0.0611,0.00159,0.000157,0.0883,0.334,171.008,6gtGE8Hm7F6BudiwEwr7JI,200046.0,4.0
In Your Eyes,The Weeknd,spotify:track:1SCOStBw3bLNrAw1xfMyhZ,0.667,0.72,7.0,-5.348,0.0,0.0331,0.00255,7.49e-05,0.0753,0.706,100.021,1SCOStBw3bLNrAw1xfMyhZ,237522.0,4.0
Save Your Tears,The Weeknd,spotify:track:1iXQiW5A7Y8DTjmKcJKXQD,0.684,0.817,0.0,-5.499,1.0,0.0308,0.0222,2.15e-05,0.439,0.623,118.059,1iXQiW5A7Y8DTjmKcJKXQD,215627.0,4.0
Repeat After Me (Interlude),The Weeknd,spotify:track:0kzq76ILTkvYbyrtEIYECy,0.559,0.619,0.0,-8.137,1.0,0.0299,0.0297,0.00103,0.104,0.107,95.017,0kzq76ILTkvYbyrtEIYECy,195816.0,4.0
After Hours,The Weeknd,spotify:track:3qNn8i35zfxvB2rdpnAoY9,0.659,0.572,5.0,-6.103,0.0,0.0305,0.0785,0.00762,0.123,0.14,108.967,3qNn8i35zfxvB2rdpnAoY9,361025.0,4.0
Until I Bleed Out,The Weeknd,spotify:track:5O16oyRCOKotNPXuTqlDWT,0.248,0.371,0.0,-9.976,0.0,0.0357,0.444,4.62e-05,0.0911,0.17,125.273,5O16oyRCOKotNPXuTqlDWT,192364.0,3.0
Nothing Compares - Bonus Track,The Weeknd,spotify:track:0Q3LtbsBRXJdyDRMJ5l4JO,0.524,0.577,1.0,-9.313,1.0,0.0358,0.00253,0.0443,0.234,0.0398,131.909,0Q3LtbsBRXJdyDRMJ5l4JO,222307.0,4.0
Missed You - Bonus Track,The Weeknd,spotify:track:1hg4cx4qaqWwDkBApYL8qG,0.716,0.364,5.0,-9.648,0.0,0.0866,0.107,9.23e-05,0.113,0.448,151.968,1hg4cx4qaqWwDkBApYL8qG,144540.0,4.0
