index,title,singers,genre,from
1,Unholy,"Sam Smith,Kim Petras",Pop,international
2,Face It Alone,Queen,Rock,international
3,I'm Good (Blue),"David Guetta,Bebe Rexha",Dance,international
4,Thank God,"Kane Brown,Katelyn Brown",Country,international
5,wait in the truck,"HARDY,Lainey Wilson",Country,international
6,Son Of A Sinner,Jelly Roll,Rock,international
7,A Thousand Years,Christina Perri,Soundtrack,international
8,Everywhere,Fleetwood Mac,Rock,international
9,You Proof,Morgan Wallen,Country,international
10,Left and Right,"Charlie Puth,Jung Kook",Pop,international
11,Unstoppable,Sia,Pop,international
12,I Ain't Worried,OneRepublic,Pop,international
13,Wasted On You,Morgan Wallen,Country,international
14,CUFF IT,Beyoncé,Pop,international
15,Fall In Love,Bailey Zimmerman,Country,international
16,Shivers,Ed Sheeran,Pop,international
17,She Had Me At Heads Carolina,Cole Swindell,Country,international
18,The Kind of Love We Make,Luke Combs,Country,international
19,Under the Influence,Chris Brown,"R&B,Soul",international
20,Lose Yourself,Eminem,Soundtrack,international
21,Shallow,"Lady Gaga,Bradley Cooper",Soundtrack,international
22,Life Is a Highway,Rascal Flatts,Soundtrack,international
23,As It Was,Harry Styles,Pop,international
24,Super Freaky Girl,Nicki Minaj,"Hip-Hop,Rap",international
25,Sunroof,"Nicky Youre,Dazy",Pop,international
26,About Damn Time,Lizzo,Pop,international
27,Victoria’s Secret,Jax,Pop,international
28,Something in the Orange (Z&E's Version),Zach Bryan,Country,international
29,Celestial,Ed Sheeran,Pop,international
30,Love Me Like You Do,Ellie Goulding,Soundtrack,international
31,What My World Spins Around,Jordan Davis,Country,international
32,I Like You (A Happier Song) [feat. Doja Cat],Post Malone,"Hip-Hop,Rap",international
33,Hold Me Closer,"Elton John,Britney Spears",Pop,international
34,Soul,Lee Brice,Country,international
35,I'm So Blessed (Best Day Remix),CAIN,Christian & Gospel,international
36,Next Thing You Know,Jordan Davis,Country,international
37,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Pop,international
38,Rock and a Hard Place,Bailey Zimmerman,Country,international
39,Numb,"Marshmello,Khalid","R&B,Soul",international
40,2 Be Loved (Am I Ready),Lizzo,Pop,international
41,Make It With You,Bread,Soft Rock,international
42,Earned It,The Weeknd,Soundtrack,international
43,You'll Be In My Heart,Phil Collins,Soundtrack,international
44,KICK BACK,Kenshi Yonezu,J-Pop,international
45,It Will Rain,Bruno Mars,Soundtrack,international
46,How Do I Say Goodbye,Dean Lewis,"Singer,Songwriter",international
47,Something in the Orange,Zach Bryan,Country,international
48,the mockingbird & THE CROW,HARDY,Rock,international
49,Bad Habit,Steve Lacy,"R&B,Soul",international
50,Always Remember Us This Way,Lady Gaga,Soundtrack,international
51,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,Pop,international
52,Fingers Crossed,Lauren Spencer Smith,Pop,international
53,Tennessee Orange,Megan Moroney,Country,international
54,Never Leave,Bailey Zimmerman,Country,international
55,This Is Halloween,The Citizens of Halloween,Soundtrack,international
56,TRUCK BED,HARDY,Rock,international
57,Bones,Imagine Dragons,Alternative,international
58,Poland,Lil Yachty,"Hip-Hop,Rap",international
59,Running Up That Hill (A Deal with God),Kate Bush,Pop,international
60,Forget Me,Lewis Capaldi,Alternative,international
61,Way of the Triune God (Hallelujah Version),Tyler Childers,Country,international
62,Don’t Come Lookin’,Jackson Dean,Country,international
63,Forever,"Drake, Kanye West, Lil Wayne,Eminem",Soundtrack,international
64,Late Night Talking,Harry Styles,Pop,international
65,Tennessee Whiskey,Chris Stapleton,Country,international
66,Build a Boat,Colton Dixon,Christian & Gospel,international
67,Somewhere Over the Rainbow,Israel Kamakawiwo'ole,World,international
68,Gangsta's Paradise (feat. L.V.),Coolio,"Hip-Hop,Rap",international
69,Half Of Me (feat. Riley Green),Thomas Rhett,Country,international
70,Joy of My Life,Chris Stapleton,Country,international
71,Eagle (feat. KB),Transformation Worship,"Hip-Hop,Rap",international
73,No Body,Blake Shelton,Country,international
74,Monster Mash,"Bobby ""Boris"" Pickett,The Crypt-Kickers",Halloween,international
75,here lies country music,HARDY,Country,international
77,5 Foot 9,Tyler Hubbard,Country,international
78,Cold Heart (PNAU Remix),"Elton John,Dua Lipa",Pop,international
79,She Likes It (feat. Jake Scott),"Russell Dickerson,Jake Scott",Country,international
